doc_id,well_id,doc_type,doc_date,gcs_uri,title,has_text_layer,_ingested_at,_source_system,_source_file,_batch_id
DOC-COMP-GK-052,GK-052,COMPLETION_REPORT,1980-07-18,gs://well-workover-intervention-data/documents/completion/GK-052_completion.pdf,Well Completion & CBL Report GK-052,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-078,GK-078,COMPLETION_REPORT,1973-11-07,gs://well-workover-intervention-data/documents/completion/GK-078_completion.pdf,Well Completion & CBL Report GK-078,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-094,GK-094,COMPLETION_REPORT,1975-10-04,gs://well-workover-intervention-data/documents/completion/GK-094_completion.pdf,Well Completion & CBL Report GK-094,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-116,GK-116,COMPLETION_REPORT,1980-12-29,gs://well-workover-intervention-data/documents/completion/GK-116_completion.pdf,Well Completion & CBL Report GK-116,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-131,GK-131,COMPLETION_REPORT,1986-06-01,gs://well-workover-intervention-data/documents/completion/GK-131_completion.pdf,Well Completion & CBL Report GK-131,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-065,GK-065,COMPLETION_REPORT,1973-09-12,gs://well-workover-intervention-data/documents/completion/GK-065_completion.pdf,Well Completion & CBL Report GK-065,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-028,GK-028,COMPLETION_REPORT,1984-04-25,gs://well-workover-intervention-data/documents/completion/GK-028_completion.pdf,Well Completion & CBL Report GK-028,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-070,GK-070,COMPLETION_REPORT,1992-06-20,gs://well-workover-intervention-data/documents/completion/GK-070_completion.pdf,Well Completion & CBL Report GK-070,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-125,GK-125,COMPLETION_REPORT,1981-05-25,gs://well-workover-intervention-data/documents/completion/GK-125_completion.pdf,Well Completion & CBL Report GK-125,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-074,GK-074,COMPLETION_REPORT,1979-02-09,gs://well-workover-intervention-data/documents/completion/GK-074_completion.pdf,Well Completion & CBL Report GK-074,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-012,GK-012,COMPLETION_REPORT,1974-03-07,gs://well-workover-intervention-data/documents/completion/GK-012_completion.pdf,Well Completion & CBL Report GK-012,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-119,GK-119,COMPLETION_REPORT,1976-04-29,gs://well-workover-intervention-data/documents/completion/GK-119_completion.pdf,Well Completion & CBL Report GK-119,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-110,GK-110,COMPLETION_REPORT,1985-11-08,gs://well-workover-intervention-data/documents/completion/GK-110_completion.pdf,Well Completion & CBL Report GK-110,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-113,GK-113,COMPLETION_REPORT,1981-08-16,gs://well-workover-intervention-data/documents/completion/GK-113_completion.pdf,Well Completion & CBL Report GK-113,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-056,GK-056,COMPLETION_REPORT,1994-02-04,gs://well-workover-intervention-data/documents/completion/GK-056_completion.pdf,Well Completion & CBL Report GK-056,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-046,GK-046,COMPLETION_REPORT,1980-03-10,gs://well-workover-intervention-data/documents/completion/GK-046_completion.pdf,Well Completion & CBL Report GK-046,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-010,GK-010,COMPLETION_REPORT,1986-10-02,gs://well-workover-intervention-data/documents/completion/GK-010_completion.pdf,Well Completion & CBL Report GK-010,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-005,GK-005,COMPLETION_REPORT,1979-06-30,gs://well-workover-intervention-data/documents/completion/GK-005_completion.pdf,Well Completion & CBL Report GK-005,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-027,GK-027,COMPLETION_REPORT,1983-10-29,gs://well-workover-intervention-data/documents/completion/GK-027_completion.pdf,Well Completion & CBL Report GK-027,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-124,GK-124,COMPLETION_REPORT,1974-02-12,gs://well-workover-intervention-data/documents/completion/GK-124_completion.pdf,Well Completion & CBL Report GK-124,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-032,GK-032,COMPLETION_REPORT,1978-01-28,gs://well-workover-intervention-data/documents/completion/GK-032_completion.pdf,Well Completion & CBL Report GK-032,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-098,GK-098,COMPLETION_REPORT,1990-09-19,gs://well-workover-intervention-data/documents/completion/GK-098_completion.pdf,Well Completion & CBL Report GK-098,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-037,GK-037,COMPLETION_REPORT,1977-08-23,gs://well-workover-intervention-data/documents/completion/GK-037_completion.pdf,Well Completion & CBL Report GK-037,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-017,GK-017,COMPLETION_REPORT,1984-01-14,gs://well-workover-intervention-data/documents/completion/GK-017_completion.pdf,Well Completion & CBL Report GK-017,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-COMP-GK-011,GK-011,COMPLETION_REPORT,1992-07-30,gs://well-workover-intervention-data/documents/completion/GK-011_completion.pdf,Well Completion & CBL Report GK-011,False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-CBL-GK129-1998,GK-129,WORKOVER_REPORT,1998-04-15,gs://well-workover-intervention-data/documents/workover/GK129_1998_CBL_scan.pdf,Cement Bond Log & Micro-Annulus Report GK-129 (1998),False,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-FIELD-TIPAM-GEOL-2012,,COMPLETION_REPORT,2012-06-01,gs://well-workover-intervention-data/documents/field/DOC-FIELD-TIPAM-GEOL-2012.pdf,Tipam Sand Reservoir Geological Study Geleki,True,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-FIELD-WATERFLOOD-HIST,,OTHER,2018-03-15,gs://well-workover-intervention-data/documents/field/DOC-FIELD-WATERFLOOD-HIST.pdf,History of Water Injection in Geleki Asset,True,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-FIELD-ASSET-RIG-SCHEDULE,,OTHER,2025-12-10,gs://well-workover-intervention-data/documents/field/DOC-FIELD-ASSET-RIG-SCHEDULE.pdf,Assam Asset Rig Deployment Matrix 2025-2026,True,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-FIELD-WAX-FLOWLINE-MAP,,OTHER,2021-09-20,gs://well-workover-intervention-data/documents/field/DOC-FIELD-WAX-FLOWLINE-MAP.pdf,Geleki Surface Flowline Wax Scraping Protocol,True,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-FIELD-CHAN-STUDY-2016,,OTHER,2016-11-05,gs://well-workover-intervention-data/documents/field/DOC-FIELD-CHAN-STUDY-2016.pdf,Upper Assam Water Production Diagnostic Review,True,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
DOC-SCAN-GK-129-2019,GK-129,WORKOVER_REPORT,2019-05-14,gs://well-workover-intervention-data/docs/GK-129_2019_wso_report.pdf,GK-129 Workover Completion Report — Straddle Packer WSO (May 2019),True,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/document_index.parquet,BATCH-GELEKI-20260923-V1
