well_id,field,asset,latitude,longitude,spud_date,completion_date,current_zone,perf_top_m,perf_bottom_m,total_depth_md_m,total_depth_tvd_m,max_dls_deg_30m,lift_type,plunger_diameter_in,stroke_length_in,pump_setting_depth_m,rod_string_grade,pump_type,casing_vented,tubing_size_in,casing_size_in,status,_ingested_at,_source_system,_source_file,_batch_id
GK-039,Geleki,Assam,26.948646,94.801778,1971-02-24,1971-06-19,Barail,3700.0,3713.9,3781.8,3734.4,,GAS_LIFT,,,,,,False,3.5,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-040,Geleki,Assam,26.974221,94.818462,1976-10-28,1977-02-17,Lakadong,3869.4,3883.6,3968.8,3865.9,,SRP,1.25,100.0,3813.7,D,INSERT,False,3.5,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-041,Geleki,Assam,26.982151,94.833481,1979-10-21,1980-01-20,Lakadong,3998.7,4050.8,4077.5,4002.6,,SRP,1.5,64.0,3953.8,K,INSERT,False,3.5,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-042,Geleki,Assam,26.965021,94.815872,1992-09-28,1992-12-12,Barail,3173.2,3212.4,3257.2,3204.7,,SRP,1.25,86.0,3030.8,K,INSERT,True,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-043,Geleki,Assam,26.965735,94.81347,1988-11-13,1989-04-21,Tipam,2914.9,2973.4,3011.7,2982.4,,NATURAL,,,,,,False,3.5,7.0,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-044,Geleki,Assam,26.930322,94.765244,1995-09-22,1995-12-02,Barail,3394.2,3452.5,3474.6,3381.9,,SRP,1.5,54.0,3323.2,D,INSERT,False,3.5,7.0,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-045,Geleki,Assam,26.952333,94.7911,1973-07-15,1973-10-21,Lakadong,4168.7,4220.5,4308.7,4196.4,,SRP,1.25,54.0,4065.1,K,INSERT,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-046,Geleki,Assam,26.958762,94.814715,1979-10-22,1980-03-10,Tipam,2461.1,2479.2,2553.9,2506.3,,SRP,1.5,64.0,2418.1,D,INSERT,False,3.5,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-047,Geleki,Assam,26.989966,94.836288,1993-05-25,1993-08-08,Barail,3344.3,3399.4,3487.3,3408.4,,SRP,1.5,64.0,3291.1,D,INSERT,False,3.5,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-048,Geleki,Assam,26.929415,94.786674,1996-07-06,1996-11-21,Tipam,2400.0,2433.9,2477.9,2443.1,,SRP,1.5,54.0,2359.2,D,TUBING,True,2.875,7.0,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-049,Geleki,Assam,26.975016,94.821116,1978-07-23,1978-12-17,Tipam,2767.0,2783.3,2804.1,2735.4,,GAS_LIFT,,,,,,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-050,Geleki,Assam,26.992792,94.84149,1973-02-14,1973-07-03,Barail,3071.0,3127.7,3188.6,3169.9,,SRP,1.25,74.0,2929.6,D,INSERT,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-051,Geleki,Assam,26.967572,94.80666,1977-09-22,1977-12-27,Tipam,2833.2,2855.1,2943.3,2912.5,,NATURAL,,,,,,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-052,Geleki,Assam,26.954355,94.818627,1980-05-17,1980-07-18,Barail,3254.4,3311.3,3399.6,3362.5,,SRP,1.5,100.0,3132.6,K,INSERT,False,3.5,7.0,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-053,Geleki,Assam,26.966793,94.81044,1982-01-01,1982-06-16,Lakadong,3809.3,3828.7,3848.4,3810.4,,GAS_LIFT,,,,,,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-054,Geleki,Assam,26.968419,94.814933,1994-03-17,1994-06-24,Lakadong,4094.5,4150.3,4205.6,4118.8,,GAS_LIFT,,,,,,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-055,Geleki,Assam,26.970143,94.828823,1978-10-04,1979-03-09,Tipam,2842.4,2892.8,2954.1,2875.5,,SRP,1.5,74.0,2715.6,K,INSERT,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-056,Geleki,Assam,26.991179,94.842023,1993-11-13,1994-02-04,Tipam,2977.0,3005.7,3027.5,2995.3,,SRP,1.25,86.0,2827.7,C,INSERT,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-057,Geleki,Assam,26.954511,94.79937,1996-08-05,1996-10-23,Barail,3548.9,3606.3,3649.7,3561.1,,SRP,1.5,86.0,3426.5,D,TUBING,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-058,Geleki,Assam,26.97454,94.815827,1992-05-22,1992-10-22,Lakadong,3841.4,3862.2,3901.3,3818.1,,SRP,1.5,74.0,3778.3,C,INSERT,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-059,Geleki,Assam,26.937071,94.79429,1975-03-19,1975-09-07,Barail,3072.1,3105.0,3137.1,3064.8,,SRP,1.5,74.0,2995.0,K,INSERT,True,2.875,5.5,IDLE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-060,Geleki,Assam,26.933576,94.781148,1988-12-22,1989-06-03,Lakadong,4108.7,4165.7,4194.8,4162.6,,SRP,1.5,64.0,4027.6,D,INSERT,False,3.5,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-061,Geleki,Assam,26.982633,94.828819,1971-12-09,1972-05-07,Tipam,2455.6,2492.5,2545.6,2505.1,,NATURAL,,,,,,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-062,Geleki,Assam,26.985145,94.846402,1972-02-13,1972-05-12,Lakadong,3500.0,3535.3,3586.1,3530.4,,NATURAL,,,,,,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-063,Geleki,Assam,26.965306,94.8073,1988-09-30,1989-03-18,Tipam,2814.9,2855.4,2887.5,2827.0,,SRP,1.25,54.0,2724.6,D,INSERT,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-064,Geleki,Assam,27.000684,94.845111,1974-05-19,1974-10-06,Tipam,2802.2,2861.3,2911.5,2831.7,,SRP,1.5,64.0,2673.3,K,TUBING,True,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-065,Geleki,Assam,26.997537,94.835173,1973-06-24,1973-09-12,Barail,3151.7,3166.6,3243.3,3174.5,,GAS_LIFT,,,,,,False,3.5,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-066,Geleki,Assam,26.98772,94.833019,1994-08-05,1994-10-19,Tipam,2678.9,2711.5,2774.3,2701.0,,NATURAL,,,,,,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-067,Geleki,Assam,26.953039,94.806132,1980-08-06,1981-01-17,Tipam,2766.3,2795.0,2859.7,2797.4,,SRP,1.25,54.0,2635.7,D,INSERT,False,2.875,7.0,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-068,Geleki,Assam,26.981087,94.836021,1974-12-15,1975-03-18,Tipam,2619.6,2649.4,2696.3,2628.1,,SRP,1.25,64.0,2519.5,K,INSERT,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-069,Geleki,Assam,26.979415,94.822786,1975-12-28,1976-05-27,Tipam,2757.2,2804.6,2854.1,2824.5,,GAS_LIFT,,,,,,False,2.875,5.5,IDLE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-070,Geleki,Assam,26.944462,94.793897,1992-04-05,1992-06-20,Barail,2900.0,2918.3,2948.2,2887.3,,SRP,1.25,54.0,2783.5,D,TUBING,False,3.5,5.5,IDLE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-071,Geleki,Assam,26.939083,94.792512,1969-06-05,1969-09-06,Tipam,2400.0,2454.9,2490.3,2471.0,,SRP,1.25,64.0,2308.5,D,INSERT,True,2.875,7.0,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-072,Geleki,Assam,26.985862,94.830816,1994-09-13,1994-12-16,Barail,2935.7,2955.1,2984.9,2948.2,,NATURAL,,,,,,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-073,Geleki,Assam,26.992033,94.843931,1993-06-19,1993-09-20,Lakadong,4057.7,4112.1,4184.1,4089.1,,NATURAL,,,,,,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-074,Geleki,Assam,26.933146,94.772949,1978-09-22,1979-02-09,Tipam,2604.3,2633.5,2684.4,2661.1,,NATURAL,,,,,,False,3.5,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-075,Geleki,Assam,26.98291,94.833741,1973-12-25,1974-06-12,Tipam,2782.2,2809.0,2833.5,2780.4,,GAS_LIFT,,,,,,False,2.875,5.5,IDLE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-076,Geleki,Assam,26.981086,94.832695,1971-06-25,1971-12-11,Lakadong,3599.9,3615.3,3666.4,3576.4,,SRP,1.25,54.0,3462.5,D,INSERT,False,3.5,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
GK-077,Geleki,Assam,26.957522,94.791192,1993-12-09,1994-05-06,Lakadong,3578.0,3629.1,3677.7,3583.9,,SRP,1.25,54.0,3494.9,C,TUBING,False,2.875,5.5,ACTIVE,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_master.parquet,BATCH-GELEKI-20260923-V1
